"ID","Player","Team","Position","Rookie","RkOv","Status","Age","Opponent","Salary","Contract","Score","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*03ad6*","Chris McCullough","(N/A)","PF,F","","1299","FA","31","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*051pw*","Jalen McDaniels","(N/A)","SF,F","","1300","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03e6y*","K.J. McDaniels","(N/A)","SF,F","","1301","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05qte*","Sean McDermott","(N/A)","SF,F","","1302","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*059fy*","William McDowell-White","(N/A)","SG,G","","1303","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03e6p*","Mitch McGary","(N/A)","PF,F,C","","1304","FA","34","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06fpq*","Darius McGhee","(N/A)","PG,G","","1305","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06prn*","Gabe McGlothan","(N/A)","SF,PF,F","","1306","FA","27","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05xnj*","Cameron McGriff","(N/A)","SF,F","","1307","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*0392f*","Rodney McGruder","(N/A)","SG,G","","1308","FA","35","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04jwc*","Alfonzo McKinnie","(N/A)","SF,F","","1309","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*05wc6*","JaQuori McLaughlin","(N/A)","PG,G","","1310","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*031lu*","Ben McLemore","(N/A)","SG,G","","1311","FA","33","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06mom*","Jamuni McNeace","(N/A)","C","","1312","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03e7m*","Jordan McRae","(N/A)","PG,SG,G","","1313","FA","35","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06muu*","Jack McVeigh","(N/A)","PF,F","","1314","FA","30","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04gwa*","Kennedy Meeks","(N/A)","C","","1315","FA","31","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*055bw*","Nicolo Melli","(N/A)","PF,F","","1316","FA","35","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*02nfm*","Fab Melo","(N/A)","C","","1317","FA","36","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*06hdz*","Nathan Mensah","(N/A)","SF,PF,F,C","","1318","FA","28","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*04qsp*","Chimezie Metu","(N/A)","C","","1319","FA","29","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03e7f*","Vasilije Micic","(N/A)","PG,G,SF,F","","1320","FA","32","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
"*03r7n*","Jordan Mickey","(N/A)","PF,F,C","","1321","FA","32","","1,000,000","MIN","0","0","0","0","0","0","0","0","0","0"
